ID	text,image	text,image	text,image
2499	positive,positive	neutral,neutral	positive,positive
2500	neutral,positive	positive,positive	neutral,neutral
2501	negative,negative	neutral,neutral	positive,positive
2502	positive,positive	positive,positive	positive,positive
2503	positive,neutral	positive,negative	positive,positive
2504	positive,neutral	positive,positive	positive,neutral
2505	positive,neutral	neutral,neutral	positive,positive
2506	neutral,neutral	positive,positive	neutral,neutral
2507	positive,positive	neutral,neutral	neutral,negative
2508	negative,neutral	negative,neutral	negative,neutral
2509	negative,negative	negative,negative	neutral,neutral
2510	neutral,neutral	neutral,neutral	neutral,neutral
2511	neutral,positive	neutral,neutral	neutral,positive
2512	neutral,neutral	neutral,neutral	neutral,neutral
2514	positive,positive	neutral,positive	neutral,neutral
2515	positive,positive	positive,neutral	positive,positive
2516	positive,positive	neutral,neutral	positive,positive
2517	neutral,neutral	neutral,neutral	neutral,neutral
2518	neutral,neutral	positive,neutral	positive,positive
2519	neutral,neutral	neutral,neutral	neutral,neutral
2520	positive,positive	neutral,neutral	neutral,positive
2521	neutral,neutral	neutral,neutral	neutral,negative
2522	positive,positive	neutral,negative	positive,positive
2523	negative,negative	negative,negative	negative,negative
2524	negative,negative	neutral,neutral	neutral,neutral
2525	positive,negative	positive,negative	positive,negative
2526	negative,negative	negative,positive	neutral,positive
2527	positive,positive	positive,positive	neutral,neutral
2528	neutral,neutral	neutral,neutral	neutral,neutral
2529	positive,positive	positive,positive	neutral,neutral
2530	neutral,neutral	neutral,neutral	neutral,neutral
2531	neutral,neutral	negative,negative	neutral,neutral
2532	positive,positive	neutral,neutral	negative,negative
2533	positive,neutral	negative,neutral	neutral,neutral
2534	negative,negative	negative,negative	neutral,neutral
2535	negative,neutral	neutral,neutral	negative,neutral
2536	positive,neutral	negative,negative	neutral,positive
2537	neutral,neutral	neutral,neutral	positive,positive
2538	positive,positive	positive,positive	positive,positive
2539	positive,positive	positive,neutral	positive,positive
2540	positive,positive	positive,positive	positive,neutral
2542	neutral,neutral	positive,positive	neutral,neutral
2543	neutral,neutral	positive,positive	positive,neutral
2544	neutral,neutral	negative,positive	positive,positive
2545	positive,positive	neutral,neutral	neutral,neutral
2548	neutral,neutral	neutral,neutral	neutral,neutral
2549	positive,positive	positive,positive	positive,positive
2550	positive,positive	neutral,neutral	neutral,neutral
2551	positive,neutral	positive,neutral	negative,negative
2552	neutral,neutral	neutral,neutral	positive,neutral
2554	neutral,neutral	neutral,neutral	neutral,neutral
2555	positive,positive	positive,positive	positive,positive
2556	positive,positive	neutral,neutral	neutral,neutral
2557	negative,negative	neutral,neutral	negative,neutral
2558	positive,positive	neutral,positive	positive,positive
